header pattern,issues with pattern,replaced by,number of posts affected,exemplar
AC Meeting Minutes — text-on-brand banner,"Red background with PREreview logo, large type reading Advisory Committee Meeting Minutes, and a meeting-date badge — all baked as a raster image. Post type and meeting date are structured data encoded as pixels: invisible to screen readers, untranslatable, unsearchable, and unfilterable. A freshly rendered image must be produced for every meeting just to change the date badge. Alt text that restates the visible text is required by WCAG but still blocks access to the date for screen reader users who already know the post type from context.",postType: meeting-minutes + meetingDate: Date → header component renders the red band with logo and date badge in HTML/CSS; no image asset required; date is a machine-readable structured field,8,2024-q4-prereview-advisory-committee-meeting-minutes
Platform news — logo-only brand image,"Feature image is the PREreview wordmark on a red background and nothing else. Carries zero informational content — every post in this series has an identical or near-identical image. Wastes a Contentful asset slot and CDN bandwidth for every post. Alt text can only say PREreview logo which adds nothing a sighted user does not already know from being on the site. The image evolved through at least three naming generations (PREreview-Banner-640x240 / logo-horizontal-red-N / Product-weeknote-header) but remained semantically identical.",postType: platform-news → renderer generates a consistent post-type label in HTML; no image asset required; the postType field also enables listing-page filtering by post type,28,prereview-platform-news-3-october-2025
Platform news — no feature image,"Older platform news posts (pre-October 2025) have no feature_image set and no body-level header image either. Inconsistent with the logo-only variant introduced later. When migrated to Contentful the rendered post has no header-level visual identity or type context at all.",postType: platform-news → same renderer as the logo-only variant; consistently applied regardless of whether a header image was ever present; provides type context without requiring a new image asset,71,prereview-platform-news-3-march-2023
Newsletter — sneak-peek infographic header,"A seasonal background photograph with a centred overlay box listing 3 topic bullets (A Sneak Peek at What's Inside). The bullet text — the actual table of contents for the newsletter — is baked as pixels over the photo. Inaccessible to screen readers, untranslatable, unsearchable. The background photograph is partially obscured by the overlay and has no alt text pathway. Requires producing a new rendered composite image for every newsletter edition.",heroImage: Asset (the background photo alone) + newsletterPreviewItems: Symbol list of up to 3 items → newsletter header component overlays the bullet list from structured text fields; photo gets heroImageAlt,3,prereview-january-2025-newsletter
Newsletter — thematic editorial photograph,"A genuine editorial photograph (team photo; seasonal landscape; stock illustration of diversity/community) used as the newsletter header. This is the correct use of an image field — the image is purely visual and sets mood rather than encoding data. Issues: no alt text field exists on the current content type so alt text cannot be authored; the post-type context (that this is a newsletter) is not expressed in any structured field.",heroImage: Asset + heroImageAlt: Symbol (required when heroImage set; empty string valid for decorative images) + postType: newsletter for type-level filtering and rendering context,~12,welcome-to-our-december-2025-prereview-newsletter-2
Newsletter — no header image,"Older newsletters (2023 to early 2024) have neither a feature_image nor a header-level body image. Inconsistent presentation across the blog archive.",postType: newsletter → renderer applies a newsletter header template without requiring a photo; heroImage remains optional for editions that have one,~6,newsletter-january-2023
Champion interview — per-person named branded header,"A template header image with the champion's name set in type over a branded background (e.g. Jade-blog-header.png / Alan-blog-header.png). The champion's name is baked as pixels: invisible to screen readers, unsearchable, and requires a freshly produced image for each interview. Older champion-authored essays (pre-2026) have no header at all, making the series visually inconsistent.",postType: champion-interview → renderer reads the post title field and applies the branded interview header template in HTML/CSS; champion's name surfaces from structured content; no per-person image asset required,5,an-interview-with-prereview-champion-alan-colin-arce
Champions program — promotional and announcement images,"Heterogeneous group: some posts use branded template-style headers (Champions-blog-post-header-image-N.png); some use genuine editorial content (group photos, geographic distribution maps, bar charts) as the feature image; older posts (2024 and earlier) have no header at all. Editorial content that belongs in the body — e.g. a group photo of all champions — is being used as a header image, removing it from the richtext flow where it would have a caption and alt text.",postType: champions-program for branded template headers → renderer generates consistent header; genuine editorial images (group photos / data charts) stay in richtext body with captions and alt text; heroImage optional for a single splash image with heroImageAlt,8,2025-prereview-champions-program
Editorial series — named series branded header,"A per-series template header image encoding the series name in type (e.g. Special-blog-series-header---ASAPbio.png / FORCE11-Club-header.png / Instructional-Use-Design-Sprint-header.png). Series name is baked as pixels: not translatable, not machine-readable for filtering or navigation, and requires a new rendered image for each new series.",postType: special-series + series: Symbol (e.g. ASAPbio Collaboration / Instructional Use Design Sprint) → renderer applies the series header template and surfaces the series name from a structured field; series field enables cross-series filtering and navigation,5,peer-review-in-a-team-how-asapbio-leverages-prereview-to-build-a-community-of-open-preprint-reviewers
Welcome post — generic reused stock photograph,"The same stock welcome photograph (a welcome sign or a welcome-on-board image) is reused unchanged for every new-hire announcement. The image carries no information about the specific person. The person's headshot — which does appear as the first body image in several of these posts — would be more informative and meaningful as the header.",heroImage: Asset (person's headshot migrated from first body image where available) + heroImageAlt: Symbol naming the person,7,welcome-sol
